title,slug,provider,provider_type,state,level,caste,gender,amount_annual,amount_min,amount_description,benefits,income_limit,min_marks,age_limit,docs_needed,apply_url,deadline,step_guide,selection,renewal,helpline,intro_seo,faq_json,tags,thumbnail_url
"Pre-Matric Scholarship for Students with Disabilities","pre-matric-scholarship-for-students-with-disabilities","Dept. of Empowerment of PwD","Central","","Class 9, Class 10","Disability","","","500","Maintenance Allowance + Disability Allowance","Covers maintenance allowance, book grant, and disability allowance for students with 40%+ disability.","250000","","Not Specified","","https://scholarships.gov.in","2026-12-15","","","","Contact the Office of the Education Officer[1]","A dedicated scholarship for students with disabilities studying in Class 9 and 10 to support their transition to secondary education.","[{""q"": ""What is the minimum disability percentage required?"", ""a"": ""40% or more, certified by competent medical authority[1][2][3][4]""}, {""q"": ""Which classes are eligible?"", ""a"": ""Classes 9th and 10th in government or recognized schools[1][2][3][4]""}, {""q"": ""How to apply?"", ""a"": ""Apply online through National Scholarship Portal (scholarships.gov.in)[1][4]""}]","",""
"PM Scholarship Scheme (Railways)","pm-scholarship-scheme-railways","Ministry of Railways","Central","","Undergraduate, Professional","General, SC, ST, OBC","","30000","2500","₹3,000/mo (Girls), ₹2,500/mo (Boys)","Financial assistance for professional degree courses (BE, B.Tech, MBBS, etc.) for wards of RPF/RPSF personnel.","","60","Not Specified","","https://scholarships.gov.in","2026-12-15","","","","(011) 23303283, 23041532, 03043283; ajeet.singh11@gov.in","Prime Minister's Scholarship Scheme (PMSS) for RPF/RPSF creates opportunities for wards and widows of Railway Protection Force personnel to pursue technical education.","[{""q"": ""Who is eligible for the PM Scholarship Scheme (Railways)?"", ""a"": ""Wards of ex-serving and serving RPF/RPSF personnel below gazetted rank, pursuing professional degree courses in eligible institutes.""}, {""q"": ""What is the scholarship amount?"", ""a"": ""Rs. 2500 per month for male students and Rs. 3000 per month for female students, disbursed annually.""}, {""q"": ""How to apply?"", ""a"": ""Apply online through National Scholarship Portal (scholarships.gov.in). Deadline is typically 15 November.""}]","",""
"Tata Trusts Education Grants","tata-trusts-education-grants","Tata Trusts","Private","","Undergraduate, Postgraduate, PhD, Professional","General, SC, ST, OBC","","0","0","Variable financial grants depending on the specific program (e.g., J.N. Tata Endowment loan scholarships up to ₹20 lakh, or means-based grants providing partial fee coverage from ₹10,000 to ₹80,000). Funds are directly disbursed to the academic institution or via DBT to verified beneficiary accounts.","Covers tuition fees and other related expenses. specific grants for Medical, Engineering, and Overseas studies (JN Tata Endowment).","","0","Not Specified","","https://www.tatatrusts.org","2026-03-15","","Selection is based on financial need, academic performance, field of study, and specific regional requirements (like Maharashtra residency for Means Grants) assessed through application review and verification.","Renewal conditions vary by grant. Typically requires passing the previous year's exams, no backlogs/ATKT, and submission of updated academic and financial documents for continuous evaluation.","+91 22 6665 8282, talktous@tatatrusts.org","Tata Trusts Education Grants offer financial assistance to meritorious students for pursuing higher professional education in India and abroad.","[{""question"":""What types of education grants do Tata Trusts offer?"",""answer"":""Tata Trusts offers various grants, including the Means Grant (Maharashtra only), J.N. Tata Endowment Loan Scholarships for study abroad, and Medical and Healthcare scholarships.""},{""question"":""Does Tata Trusts work with third-party agents for applications?"",""answer"":""No, Tata Trusts does not utilize any third-party agents or intermediaries. Applications must be submitted directly through official websites or specified emails.""},{""question"":""Are there any geographical restrictions for the Tata Trusts Means Grant?"",""answer"":""Yes, the Means Grant is primarily available to students residing and studying in Maharashtra.""}]","",""
"Reliance Foundation Postgraduate Scholarship","reliance-foundation-postgraduate-scholarship","Reliance Foundation","Private","","Postgraduate","General","","","","Up to ₹6,00,000 for the duration of the degree","Generous grant of up to ₹6 Lakhs for PG students in future-ready fields like AI, Computer Science, Engineering, and Life Sciences.","","60","Not Specified","","https://www.scholarships.reliancefoundation.org/","2025-10-07","","","","Not Specified","The Reliance Foundation Postgraduate Scholarship aims to nurture India's future leaders in science and technology with a substantial grant of up to ₹6 Lakhs.","[{""q"": ""What is the total scholarship amount?"", ""a"": ""Up to INR 6,00,000 for the duration of the PG degree.[1][2]""}, {""q"": ""Is an aptitude test required?"", ""a"": ""Yes, all applicants must take a 60-minute online aptitude test covering verbal, numerical, and analytical reasoning.[1][2]""}, {""q"": ""What expenses are covered?"", ""a"": ""80% for tuition and academic expenses, 20% for professional development, conferences, and workshops.[1]""}]","",""
"Aditya Birla Scholarship Programme","aditya-birla-scholarship-programme","Aditya Birla Group","Private","","Undergraduate, Postgraduate, Professional","General","","","150000","Covers significant portion of tuition/hostel fees (Varies)","Prestigious scholarship for students in top institutes (IITs, IIMs, BITS, XLRI, Law Schools). Covers tuition and hostel fees.","","","Not Specified","","https://www.adityabirlascholars.net/","2025-12-07","","","","Not Specified","The Aditya Birla Scholarship Programme is one of India's most prestigious merit scholarships, rewarding valid top rankers in India's premier institutes.","[{""q"": ""What courses are covered by the Aditya Birla Scholarship?"", ""a"": ""Engineering (IITs/BITS Pilani), Management (IIMs/XLRI), and Law from premier institutes.""}, {""q"": ""What is the selection process?"", ""a"": ""Based on academic performance, co-curricular excellence, essays, and interviews.""}, {""q"": ""Who is eligible to apply?"", ""a"": ""Indian citizens pursuing Bachelors, Masters, or MBA in Engineering, Law from selected premier institutes like IITs, BITS Pilani, IIMs, XLRI, and top law schools.""}]","",""
"Kotak Shiksha Nidhi Scholarship","kotak-shiksha-nidhi-scholarship","Kotak Education Foundation","Private","","School, Undergraduate, Postgraduate","General","","","","Financial Assistance for Education","Specifically for students who have lost a parent/primary earning member (COVID or other causes). Covers school/college fees.","","","Not Specified","","https://www.buddy4study.com/page/kotak-shiksha-nidhi","2026-03-31","","","","Not Specified","Kotak Shiksha Nidhi provides critical financial support to students facing challenges due to the loss of a primary wage earner.","[{""q"": ""What is Kotak Shiksha Nidhi Scholarship?"", ""a"": ""Information about Kotak Shiksha Nidhi Scholarship is not available in current search results.""}, {""q"": ""Who is eligible for this scholarship?"", ""a"": ""Eligibility criteria for Kotak Shiksha Nidhi Scholarship could not be determined from available sources.""}, {""q"": ""How do I apply for Kotak Shiksha Nidhi Scholarship?"", ""a"": ""Application process details are not specified in the current search results.""}]","",""
"Vidyasaarathi Scholarship (CSR Programs)","vidyasaarathi-scholarship-csr-programs","NSDL e-Governance / CSR Partners","Private","","Diploma, ITI, Undergraduate, Postgraduate","General","","50000","5000","The scholarship amount is program-specific and varies based on the funding corporate partner and the student's level of study. Typically, it ranges from ₹5,000 for ITI/Diploma courses up to ₹50,000 per annum for professional degree courses (such as B.E./B.Tech/Medical). Funds are disbursed directly to the beneficiary's bank account via DBT.","A portal hosting multiple CSR scholarships from companies like ACC, Lowe's, Schindler, etc. Amounts and criteria vary by specific scheme.","","50","Not Specified","","https://www.vidyasaarathi.co.in","2026-01-30","","Based on merit ranking, family income limits (typically under ₹3 to ₹5 Lakhs per annum depending on the scheme), and specific corporate criteria (such as geographic location, gender, or field of study).","Depends on the specific corporate scheme's guidelines. Generally requires passing the previous year's exams without backlogs, maintaining a minimum percentage (typically 50% or 60%), and submitting a renewal application on the portal with fee receipts and marksheets.","(022) 4090 4484, vidyasaarathi@proteantech.in","Vidyasaarathi is a technology-enabled initiative by NSDL e-Gov, bridging the gap in education finance through various corporate CSR scholarship schemes.","[{""question"":""What is Vidyasaarathi?"",""answer"":""Vidyasaarathi is a technology-enabled initiative by Protean eGov Technologies Limited that connects deserving students with corporate funders offering scholarships under CSR programs.""},{""question"":""Do I need to pay any fee to apply on Vidyasaarathi?"",""answer"":""No, registration and applying for scholarships on the Vidyasaarathi portal is completely free of charge.""},{""question"":""Can I apply for multiple scholarships on Vidyasaarathi?"",""answer"":""Yes, you can register and apply for multiple schemes, but you can only be awarded and accept one scholarship at a time, depending on the terms of the corporate sponsors.""}]","",""
"SSP Pre-Matric & Post-Matric Scholarship (Karnataka)","ssp-pre-matric-post-matric-scholarship-karnataka","Government of Karnataka","State","Karnataka","Class 1 to PhD, Professional, ITI, Diploma","SC, ST, OBC, Minority, General (EWS)","","100000","1000","Pre-matric scholarships provide ₹1,000 to ₹5,000 per year. Post-matric scholarships cover partial to full tuition fee reimbursement (up to ₹1,00,000+ for professional courses like Engineering/Medical for SC/ST categories) plus monthly maintenance allowances. Payments are disbursed directly to Aadhaar-seeded accounts via DBT.","Covers tuition fees, hostel fees, and maintenance allowance. Unified portal for various department schemes (Social Welfare, Backward Classes, etc.).","","0","Not Specified","","https://ssp.postmatric.karnataka.gov.in","2026-01-15","","Selected based on Karnataka residency, caste/category (SC/ST/OBC/Minority/EWS), income limits (varying from ₹1.0 Lakh to ₹2.5 Lakhs+ depending on department/category), and automatic verification of student data via the State SATS / Kutumba databases.","Requires passing the previous year's exams, no backlog (in specific courses), maintaining regular attendance, and renewing the application annually on the SSP portal using the same Kutumba ID/SATS ID.","1902, 080-22634300, swdcontrolroom@gmail.com","State Scholarship Portal (SSP) is Karnataka's unified platform for Pre-Matric and Post-Matric scholarships across all departments.","[{""question"":""What is Kutumba ID and why is it needed for SSP?"",""answer"":""Kutumba ID is a family ID issued by the Government of Karnataka that integrates family data. It is mandatory for SSP registration to verify family income, caste, and residency details automatically.""},{""question"":""Can students apply for both pre-matric and post-matric scholarships simultaneously?"",""answer"":""No, a student can only apply for one scholarship (either pre-matric for classes 1-10 or post-matric for higher classes) in any given academic year.""},{""question"":""How do I check if my bank account is seeded with Aadhaar for SSP?"",""answer"":""You can check your Aadhaar-seeding status on the official UIDAI website or the SSP portal's DBT status tracking page to ensure successful payment disbursement.""}]","",""
"MahaDBT Post-Matric Scholarship (Maharashtra)","mahadbt-post-matric-scholarship-maharashtra","Government of Maharashtra","State","Maharashtra","Post-Matric (Class 11 to PG)","SC, ST, VJNT, OBC, SBC, EBC","","","230","Tuition Fee + Exam Fee + Maintenance Allowance","Reimbursement of tuition and exam fees. Monthly maintenance allowance for hostellers and day scholars.","800000","","Not Specified","","https://mahadbt.maharashtra.gov.in/","2025-11-30","","","","Not Specified","MahaDBT (Aaple Sarkar) is Maharashtra's Direct Benefit Transfer portal offering a wide range of scholarships for reserved category students.","[{""q"": ""What is the eligibility criteria for Post-Matric Scholarship in Maharashtra?"", ""a"": ""Students must be Maharashtra residents pursuing post-Class 10 education in government-approved institutions. Category-specific income limits apply: SC/ST up to \u20b92.5 lakh; OBC/VJNT/SBC up to \u20b91.5 lakh. Must have passed SSC or equivalent[2]""}, {""q"": ""How to apply for the Post-Matric Scholarship Maharashtra?"", ""a"": ""Visit MahaDBT portal, register using Aadhaar, select scheme, fill form, upload documents like income certificate, caste validity, marksheets, fee receipt, submit for institute verification[2]""}, {""q"": ""What are the benefits under Post-Matric Scholarship for SC/ST students?"", ""a"": ""Covers full tuition and exam fees (100% aided colleges), monthly maintenance \u20b9230-\u20b91200 (annual \u20b92300-\u20b912000 for 10 months), additional for disabilities, via DBT[2]""}]","",""
"Pudhumai Penn Scheme (Tamil Nadu)","pudhumai-penn-scheme-tamil-nadu","Social Welfare and Women Empowerment Department, Government of Tamil Nadu","State","Tamil Nadu","Undergraduate, Diploma, ITI, Professional","[""General"",""OBC"",""SC"",""ST"",""EWS""]","Female","12000","10000","Provides a monthly financial assistance of ₹1,000 disbursed directly to the girl student's bank account for the duration of her higher education course.","* Monthly incentive of ₹1,000 (total ₹12,000/year) sent via DBT.
* Financial support covers the entire duration of the UG degree/diploma/ITI course.","","33","No age limit","* School Transfer Certificate (TC) proving study from Classes 6 to 12 in Govt schools
* Aadhaar Card
* Bank Account Passbook (Aadhaar-linked)
* College Admission Card / Bonafide Certificate
* Marksheets","https://www.penkalvi.tn.gov.in","2026-10-31","### Step-by-Step Application Guide
1. **Collect School Proofs:** Gather your school transfer certificate (TC) or study certificates proving you studied in government schools from Classes 6 to 12.
2. **College Help Desk:** The primary application route is through your college. Colleges host a dedicated registration drive on the Penkalvi/UMIS portal.
3. **Submit Details to Nodal Officer:** Submit your Aadhaar card copy, bank details, and school certificates to your college's designated nodal officer.
4. **Portal Upload:** The college will upload your documents and verify your active enrollment.
5. **DBT Activation:** Ensure your bank account is active and seeded with Aadhaar to receive the monthly ₹1,000 direct benefit transfers.","Exclusively for female students who completed their schooling (Class 6 to 12) in Tamil Nadu Government schools and are pursuing regular higher education courses.","Automatically renewed monthly based on the college verifying the student's active enrollment and attendance through the UMIS portal.","1800 425 2425, penkalvi@tn.gov.in","Learn how to apply for the Pudhumai Penn Scheme in Tamil Nadu. Check eligibility criteria, schooling requirements, the monthly ₹1,000 benefit, and portal registration guide.","[{""question"":""Is there any family income limit for the Pudhumai Penn scheme?"",""answer"":""No, there is no family income limit. Any female student who studied in a government school from Class 6 to 12 is eligible.""},{""question"":""Are private college students eligible?"",""answer"":""Yes, as long as the student completed her schooling (Classes 6–12) in a government school and is enrolled in a recognized higher education course.""},{""question"":""Is this scheme applicable for PG students?"",""answer"":""No, the scheme is strictly for students pursuing their first undergraduate degree, diploma, or ITI course.""}]","[""state"",""government"",""tamil-nadu"",""girls"",""higher-education"",""dbt""]",""
"NMMS Scholarship (Karnataka)","nmms-scholarship-karnataka","DSERT Karnataka","State","Karnataka","Class 8","General, SC, ST, OBC","","12000","12000","₹12,000 per annum (₹1,000 per month) from Class 9 to Class 12. Disbursed via Direct Benefit Transfer (DBT) into the student's Aadhaar-seeded bank account.","Central Sector Scheme implemented by DSERT. ₹12,000/year for students from Class 9 to 12.","","55","Not Specified","","https://scholarships.gov.in","2025-10-15","","Based on the performance in the state-level NMMS written exam (MAT and SAT papers) and family income limit of ₹3,50,000. Available for students in government/aided schools in Class 8.","Requires annual renewal on the National Scholarship Portal (NSP). Must be promoted to the next class in the first attempt with at least 55% in Class 9 and 11 (50% for SC/ST) and 60% in Class 10 (55% for SC/ST).","080-26980100, 080-26422372","National Means-cum-Merit Scholarship (NMMS) Karnataka specific exam and selection process.","[{""question"":""What is the eligibility criteria to appear for the NMMS exam in Karnataka?"",""answer"":""Students must be in Class 8 in a government, government-aided, or local body school, have secured at least 55% marks in Class 7 (50% for SC/ST), and have a parental income of up to ₹3,50,000.""},{""question"":""What is the scholarship amount and duration for NMMS?"",""answer"":""Selected students receive ₹12,000 per year (₹1,000 per month) from Class 9 to Class 12, provided they maintain the required marks and pass each class in the first attempt.""},{""question"":""What are the renewal marks requirements for NMMS?"",""answer"":""Students must secure at least 55% marks in Class 9 and Class 11 (50% for SC/ST) and at least 60% in Class 10 (55% for SC/ST) to continue receiving the scholarship.""}]","",""
"NMMS Scholarship (Maharashtra)","nmms-scholarship-maharashtra","MSCE Pune","State","Maharashtra","Class 8","General, SC, ST, OBC","","12000","12000","Provides ₹12,000 per annum (₹1,000 per month) for classes 9 to 12. The scholarship is paid via Direct Benefit Transfer (DBT) directly into the student's Aadhaar-linked bank account.","Central Sector Scheme implemented by MSCE Pune. ₹12,000/year for eligible students.","","55","Not Specified","","https://www.mscenmms.in","2025-10-11","","Selected based on a state-level competitive exam (Mental Ability Test and Scholastic Aptitude Test) conducted by MSCE Pune, subject to a family income limit of ₹3.5 Lakhs per annum. Candidates must qualify with at least 40% aggregate marks (32% for SC/ST).","Requires scoring at least 55% marks in Class IX and XI, and at least 60% (55% for SC/ST) in Class X board exams. Students must continue studying in a government/government-aided school and submit the renewal application on the National Scholarship Portal (NSP) annually.","9240275801, 020-26123066, mscepune@gmail.com","National Means-cum-Merit Scholarship (NMMS) Maharashtra specific exam and selection process.","[{""question"":""Can students of private schools apply for NMMS in Maharashtra?"",""answer"":""No, students studying in private schools, Kendriya Vidyalayas, Navodaya Vidyalayas, or government residential schools with free boarding and lodging are not eligible for NMMS.""},{""question"":""What is the examination fee for NMMS in Maharashtra?"",""answer"":""The examination fee details are published in the official MSCE notification and are nominal, with fee concessions applicable for backward classes.""},{""question"":""How is the scholarship money disbursed?"",""answer"":""The scholarship money is disbursed through Direct Benefit Transfer (DBT) directly to the selected student's Aadhaar-seeded bank account through the National Scholarship Portal (NSP).""}]","",""
"Sanchi Honnamma Scholarship (Karnataka)","sanchi-honnamma-scholarship-karnataka","Directorate of Collegiate Education, Karnataka","State","Karnataka","Undergraduate (Arts, Science, Commerce)","General, SC, ST, OBC","Female","2000","2000","₹2,000 per annum throughout the duration of the undergraduate course. Paid via DBT to Aadhaar-seeded bank account.","Financial assistance to encourage girl students in Karnataka to pursue higher education.","","50","","","https://ssp.karnataka.gov.in","2026-01-06","","Merit-based selection of girl students who studied in government schools from Class 1 to 7 and are enrolled in regular Arts/Science/Commerce UG courses in government/aided colleges.","Requires passing all semester/annual examinations in the first attempt (no backlogs) and maintaining satisfactory attendance. Renewed annually on the SSP portal.","080-44554455, 1902","Sanchi Honnamma Scholarship is a Karnataka state initiative to support meritorious girl students pursuing general degree courses.","[{""question"":""Who is eligible for the Sanchi Honnamma Scholarship in Karnataka?"",""answer"":""Meritorious girl students who studied in government schools from Class 1 to Class 7 and are enrolled in regular undergraduate (Arts, Commerce, Science) courses in government/aided colleges in Karnataka.""},{""question"":""What are the minimum marks required in the qualifying exam?"",""answer"":""General category students must have at least 50% marks, while SC/ST students and those studying in rural colleges require at least 45% marks in their previous examination.""},{""question"":""What is the scholarship amount and how long is it paid?"",""answer"":""Selected girl students receive ₹2,000 per annum, which is paid throughout the duration of the 3-year undergraduate degree, subject to passing all exams on the first attempt.""}]","",""
"Nabanna Scholarship (West Bengal)","nabanna-scholarship-west-bengal","Chief Minister's Relief Fund, West Bengal","State","West Bengal","Class 10 to PG, Professional","General, SC, ST, OBC","","10000","10000","Up to ₹10,000 per year. Payment is made directly to the beneficiary's Aadhaar-seeded bank account through Direct Benefit Transfer (DBT).","A financial grant of ₹10,000 to cover college fees, books, and educational expenses.","120000","50","","Copy of Marksheets (Madhyamik onwards)
Copy of Admission Receipt for current course
Copy of Bank Passbook (front page showing Account No & IFSC)
Income Certificate from Group-A Gazetted Officer (MLA/MP/BDO)
Self-Declaration Copy attested by school head/principal
Recommendation Letter from local MLA or MP","https://cmrf.wb.gov.in","Rolling","### Step-by-Step Application Guide:
1. **Visit the official portal:** Go to the Chief Minister's Relief Fund (CMRF) website at [cmrf.wb.gov.in](https://cmrf.wb.gov.in).
2. **Register Online:** Click on ""Apply for Financial Assistance for Education"" and register with your mobile number.
3. **Fill the Form:** Log in and fill in all personal, academic, and banking details.
4. **Attestation & Recommendation:** Obtain a recommendation letter from your local MLA/MP. Scan and upload it along with other documents.
5. **Upload Documents:** Upload scanned copies of your marksheet, admission receipt, income certificate, and bank passbook.
6. **Submit:** Double-check your details and submit the application online. Keep a printout of the reference number for tracking.","Selection is based on merit ranking (passing previous qualifying examination with 50% to less than 60% marks) and family income limit (not exceeding ₹1,20,000 per annum).","To renew, the student must pass the previous year's examination with no backlogs, maintain regular attendance, and apply through the official renewal process on the CMRF portal.","033 2253 5335, 033 2253 5460, wbcmrfedu2020@gmail.com","Nabanna Scholarship (West Bengal Chief Minister's Relief Fund) provides support to deserving students with financial need.","[{""question"":""Who is eligible for the Nabanna Scholarship?"",""answer"":""Permanent residents of West Bengal studying in institutions within the state, with 50% to less than 60% marks in Class 10/12 (or 50% to less than 53% in Graduation) and an annual family income of ₹1,20,000 or less, who are not receiving any other scholarship.""},{""question"":""What is the scholarship amount?"",""answer"":""Beneficiaries receive a financial grant of ₹10,000 per year.""},{""question"":""How is the scholarship money disbursed?"",""answer"":""The scholarship amount is transferred directly to the beneficiary's Aadhaar-seeded bank account via Direct Benefit Transfer (DBT).""}]","",""
"Lila Poonawalla Foundation Scholarship","lila-poonawalla-foundation-scholarship","Lila Poonawalla Foundation","Private","","Undergraduate, Postgraduate","General","Female","80000","40000","Varies (Financial Support + Mentorship)","Comprehensive scholarship including financial aid and skill-building for girls in Pune, Wardha, Amravati, etc.","","","Below 20 years (Engineering/BTech), Below 21 years (Diploma-based Engineering), Below 30 years (Post-Graduation)","","https://www.lilapoonawallafoundation.com/","2026-01-31","","","","Not Specified","Lila Poonawalla Foundation empowers academically bright but financially challenged girls to pursue professional education.","[{""q"": ""Who is eligible to apply for the Lila Poonawalla Foundation Scholarship?"", ""a"": ""Female students from Pune, Amravati, Wardha, Hyderabad, and Bengaluru pursuing studies from class 7th to post-graduation with minimum 70% marks and family income not exceeding INR 5,00,000 (or INR 3,50,000 for engineering first year) are eligible.""}, {""q"": ""What is the scholarship amount and how long is it awarded?"", ""a"": ""Scholarship amounts range from INR 40,000 to INR 80,000 annually depending on the course and location. The scholarship is renewable for 3-4 years, subject to passing all subjects and maintaining a minimum of 60% marks annually.""}, {""q"": ""How do I apply for the Lila Poonawalla Foundation Scholarship?"", ""a"": ""Register on www.lpfscholarship.com, complete the online application form with accurate details, pay the non-refundable application fee of INR 300, print the form, and submit the hard copy along with required documents personally at the LPF office in your respective city.""}]","",""
"Foundation for Excellence (FFE) Scholarship","foundation-for-excellence-ffe-scholarship","Foundation for Excellence","Private","","Undergraduate (Engineering, Medical)","General","","100000","50000","The standard scholarship provides ₹50,000 per year for B.Tech/MBBS students. The GSK Scholars Programme under FFE provides up to ₹1,00,000 per year for MBBS students. Paid directly to the student's bank account.","Financial scholarships to students pursuing BE/B.Tech and MBBS degrees. Includes mentorship and skilling.","300000","70","Not Specified","","https://ffe.org","2026-01-31","","Selected based on admission rank in national/state level entrance exams (like JEE, NEET, CLAT), verified family income of ₹3.0 Lakhs or less per annum, and background verification by an FFE volunteer facilitator.","Requires passing all semester exams with no backlogs, maintaining a minimum CGPA of 6.0 (or equivalent percentage), active participation in FFE's skill training and mentoring programs, and submitting marks and fee receipts on the portal annually.","+91 (080) 2520 1925, +91 (080) 4204 2654, scholarships@ffe.org, india_support@ffe.org","FFE Scholarship supports bright students from financially constrained backgrounds to become doctors and engineers.","[{""question"":""Which professional courses are covered under the FFE Scholarship?"",""answer"":""First-year students pursuing B.E./B.Tech, Integrated 5-Year Dual-Degree M.Tech, MBBS, and LLB courses are eligible. B.Arch and BDS courses are not covered.""},{""question"":""What is the annual family income limit to be eligible for FFE?"",""answer"":""The annual family income of the applicant's parents/guardians must not exceed ₹3.0 Lakhs from all sources.""},{""question"":""What is the role of an FFE Facilitator?"",""answer"":""An FFE Facilitator is a volunteer who conducts a physical or virtual background check and verifies the student's financial need and credentials before the scholarship is approved.""}]","",""
"ONGC Scholarship (CSR)","ongc-scholarship-csr","ONGC Foundation","Private","","Undergraduate, Postgraduate","SC, ST, OBC, General (EWS)","","48000","48000","₹48,000 per year paid annually via direct bank transfer, renewable until course completion.","Scholarship worth ₹48,000 per year for meritorious SC/ST/OBC/General students pursuing professional courses.","","60","Not Specified","Class 10 Marksheet
Class 12 Marksheet
Income Certificate
Caste Certificate (if SC/ST/OBC)
Aadhaar Card
Admission Letter
Bank Passbook Copy","https://ongcscholar.org","2026-10-31","### Step-by-Step Application Guide:
1. **Register Online:** Visit the official portal [ongcscholar.org](https://ongcscholar.org) and register.
2. **Fill Details:** Complete personal, academic, and banking information.
3. **Upload Documents:** Attach scanned marksheets, caste/income proof, and admission receipts.
4. **Submit & Print:** Verify and submit. Print the receipt.","Merit-based on previous qualifying exam marks (Class 12 for UG, Graduation for PG) and family income. 50% reservation for female candidates.","Requires maintaining a minimum of 60% marks or 6.0 CGPA in annual examinations with clean academic progression.","011-22406854, 011-22406859, info@ongcfoundation.org","ONGC Foundation offers scholarships to meritorious SC/ST and OBC students pursuing professional courses like Engineering and MBBS.","[{""question"":""Can I apply for this if I am already receiving another scholarship?"",""answer"":""No, candidates must not be availing of any other scholarship or financial assistance scheme.""},{""question"":""How do I check my scholarship payment status?"",""answer"":""Log in to the ONGC Scholar portal and view the 'Payment Status' dashboard where direct bank transfer transaction details are updated.""},{""question"":""What is the family income limit?"",""answer"":""The annual family income limit is ₹2 Lakhs for OBC/General (EWS) students, and ₹4.5 Lakhs for SC/ST students.""}]","",""
"SBI Platinum Jubilee Asha Scholarship 2025-26","sbi-platinum-jubilee-asha-scholarship","SBI Foundation","Foundation","All India","Class 9 to 12, UG, PG, Medical, IIT, IIM","All (50% reservation for SC/ST)","All (50% reservation for Girls)","2000000","15000","₹15,000 to ₹20,00,000 based on course level.","Financial grants ranging from ₹15k for school students to ₹20 Lakh for overseas education. Includes one-time payments and renewable support.","600000","75","","Aadhaar Card, Passport Photo, Previous Year Marksheet, Income Certificate, Admission Proof, Bank Passbook","https://sbiashascholarship.co.in/","2025-11-30","1. Visit sbiashascholarship.co.in. 2. Select your category. 3. Register and fill the online form. 4. Upload scanned PDFs. 5. Submit.","Merit-cum-means based shortlisting, followed by telephonic interview and document verification.","Renewable annually based on performance","Check official portal","An initiative by the SBI Foundation to provide massive financial support to meritorious students from economically weaker sections. Supports everything from high school to overseas PG degrees.","[{""q"": ""Is an SBI account mandatory?"", ""a"": ""No, but it speeds up the disbursement.""}, {""q"": ""Is there a reservation?"", ""a"": ""Yes, 50% for girls and 50% for SC/ST categories.""}]","[""Foundation"",""Direct Portal"",""Verified""]",""
"FAEA Scholarship for Undergraduate Studies 2025-26","faea-scholarship-for-undergraduate-studies","Foundation for Academic Excellence and Access","Foundation","All India","1st Year Undergraduate (UG)","SC, ST, OBC, BPL (General 90%+ merit)","All","150000","50000","Full Tuition Fees + Maintenance Allowance + Hostel/Mess","Full coverage of tuition fees, monthly maintenance allowance, and hostel/mess charges. This is one of the most comprehensive ""full-ride"" private scholarships in India.","250000","60","","Class 10/12 Marksheets, Caste Certificate, BPL Card, Income Certificate, Passport Photo","http://www.faeaindia.org/Registration/Registration.aspx","2025-06-30","1. Go to faeaindia.org. 2. Click ""Online Registration"". 3. Fill the detailed application form. 4. Submit online.","Initial shortlisting followed by personal interviews in metro cities by a national panel.","Renewable for full course duration","Check official portal","FAEA, supported by TATA Trusts, provides comprehensive scholarships for students from socially and economically disadvantaged backgrounds to pursue undergraduate studies in any field in India.","[{""q"": ""Can students who already started college apply?"", ""a"": ""Only for the first year of their current UG course.""}, {""q"": ""Is it for engineering only?"", ""a"": ""No, it covers all undergraduate streams.""}]","[""Foundation"",""Direct Portal"",""Verified""]",""
"Narotam Sekhsaria Postgraduate Scholarship 2026","narotam-sekhsaria-postgraduate-scholarship","Narotam Sekhsaria Foundation","Foundation","All India","Postgraduation (PG) - India or Abroad","All","All","2000000","500000","Up to ₹20,00,000 (Interest-free loan scholarship)","Interest-free loan of up to ₹20 Lakh. Includes mentorship and networking with an elite cohort of NSF Scholars.","0","75","30","Degree Certificate, Marksheets, GRE/GMAT/IELTS scores, Admission Letter, LORs, Passport","https://pg.nsfoundation.co.in/","2025-03-17","1. Register at pg.nsfoundation.co.in. 2. Pay ₹500 fee. 3. Complete the multi-part application form including SOP. 4. Submit.","Shortlisting by academic committee, followed by online/in-person interviews.","N/A (One-time loan)","Check official portal","Provides merit-based interest-free loan scholarships to Indian students with a consistently good academic record to pursue postgraduate studies at top institutions globally.","[{""q"": ""Is it a grant or a loan?"", ""a"": ""It is an interest-free loan that must be repaid.""}, {""q"": ""Do I need an admission letter?"", ""a"": ""You can apply while waiting, but must be for Fall intake.""}]","[""Foundation"",""Direct Portal"",""Verified""]",""
