"Priority","Query","Intent","Clicks","Impressions","CTR","Position","Opportunity score","Owner","Owner type","Owner share","Ownership","Meaningful pages","Secondary pages","Recommended action"
"95","pm scholarship scheme 2026","entity lookup","36","5222","0.69","8.95","306","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","48.2","Split / unclear","2","/scholarships/pm-scholarship-scheme-railways/apply-online (2394)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"96","নবান্ন স্কলারশিপ","entity lookup","84","4928","1.70","4.64","305","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","98.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"97","mahadbt","entity lookup","34","4889","0.70","8.03","303","https://www.indiascholarships.in/or/scholarships/mahadbt-post-matric-scholarship-maharashtra/documents-required","other","48.0","Split / unclear","2","/ta/scholarships/mahadbt-post-matric-scholarship-maharashtra/apply-online (653)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"98","pm yasasvi","entity lookup","249","7014","3.55","6.43","290","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","99.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"99","nmms scholarship amount","details/eligibility","42","4436","0.95","6.63","287","https://www.indiascholarships.in/scholarships/national-means-cum-merit-scholarship","scholarship detail","87.2","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"100","kotak kanya scholarship 2026","entity lookup","58","4396","1.32","5.73","283","https://www.indiascholarships.in/scholarships/kotak-kanya-scholarship","scholarship detail","85.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"101","nmms","entity lookup","58","4322","1.34","5.72","277","https://www.indiascholarships.in/scholarships/national-means-cum-merit-scholarship","scholarship detail","97.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"102","post matric scholarship bihar","entity lookup","99","5052","1.96","6.90","276","https://www.indiascholarships.in/scholarships/bihar-post-matric-scholarship-bcebc/last-date","scholarship subpage","34.3","Split / unclear","4","/scholarships/bihar-post-matric-scholarship-bcebc/apply-online (1083) | /kn/scholarships/bihar-post-matric-scholarship-for-st-students/apply-online (1070) | /scholarships/bihar-post-matric-scholarship-for-st-students (748)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"103","bharti airtel scholarship","entity lookup","17","4168","0.41","7.79","272","https://www.indiascholarships.in/scholarships/bharti-airtel-scholarship-program/apply-online","scholarship subpage","42.4","Split / unclear","3","/scholarships/bharti-airtel-scholarship-program (1746) | /scholarships/bharti-airtel-scholarship-program/eligibility (385)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"104","post matric scholarship cg","entity lookup","17","3778","0.45","5.95","272","https://www.indiascholarships.in/scholarships/chhattisgarh-post-matric-scholarship-sc","scholarship detail","71.9","Split / unclear","2","/ta/scholarships/chhattisgarh-post-matric-scholarship-st/apply-online (924)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"105","yashasvi scholarship scheme","entity lookup","245","6369","3.85","5.15","263","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","98.2","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"106","reliance foundation undergraduate scholarships","entity lookup","19","4083","0.47","8.18","259","https://www.indiascholarships.in/scholarships/reliance-foundation-undergraduate-scholarship","scholarship detail","93.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"107","yasasvi scholarship","entity lookup","219","5912","3.70","4.73","251","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","98.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"108","chief minister relief fund scholarship","entity lookup","31","3471","0.89","4.75","244","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","83.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"109","scholarship.gov.in 2026","entity lookup","44","3955","1.11","7.84","234","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","100.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"110","needs of public jindal","entity lookup","27","3691","0.73","7.59","234","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"111","talliki vandanam status 2026","status/troubleshooting","49","4254","1.15","9.04","232","https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap","scholarship detail","93.1","Clear owner","1","","Create/upgrade a status-check or troubleshooting owner page and link it prominently from the current ranking page."
"112","lic golden jubilee scholarship 2026","entity lookup","409","8159","5.01","4.06","232","https://www.indiascholarships.in/scholarships/lic-golden-jubilee-scholarship","scholarship detail","94.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"113","ebc","entity lookup","13","3437","0.38","2.49","229","https://www.indiascholarships.in/scholarships-for/ebc","other","88.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"114","kanyashree prakalpa","entity lookup","17","3476","0.49","7.93","223","https://www.indiascholarships.in/scholarships/kanyashree-prakalpa-scheme-west-bengal/apply-online","scholarship subpage","80.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"115","sitaram jindal","entity lookup","21","3311","0.63","6.89","221","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"116","reliance scholarship 2026","entity lookup","44","3485","1.26","6.23","220","https://www.indiascholarships.in/scholarships/reliance-foundation-undergraduate-scholarship","scholarship detail","74.7","Split / unclear","1","","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"117","oasis scholarship last date 2026","deadline/renewal","44","3421","1.29","3.99","218","https://www.indiascholarships.in/scholarships/oasis-post-matric-scholarship-for-st-students-west-bengal/last-date","scholarship subpage","83.5","Split / unclear","3","/scholarships/oasis-post-matric-scholarship-for-obc-students-west-bengal (1451) | /scholarships/oasis-post-matric-scholarship-for-st-students-west-bengal (775)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"118","scholarship for 12th passed students by government","entity lookup","76","4430","1.72","9.49","216","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","90.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"119","post matric scholarship gujarat","entity lookup","52","3450","1.51","5.86","214","https://www.indiascholarships.in/scholarships/gujarat-post-matric-scholarship-for-obc","scholarship detail","65.0","Split / unclear","3","/scholarships/gujarat-post-matric-scholarship-for-scst/apply-online (958) | /scholarships/gujarat-post-matric-scholarship-for-scst (553)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"120","amma vodi date 2026","deadline/renewal","17","3129","0.54","6.75","213","https://www.indiascholarships.in/ta/scholarships/talliki-vandanam-scheme-ap/last-date","other","78.3","Split / unclear","2","/scholarships/talliki-vandanam-scheme-ap/last-date (681)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"121","hdfc bank scholarship","documents/eligibility","32","3488","0.92","8.15","208","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","93.6","Clear owner","1","","Strengthen the dedicated eligibility/documents subpage and use the detail page as the cluster hub."
"122","vidyasaarathi","entity lookup","15","2732","0.55","5.29","201","https://www.indiascholarships.in/scholarships/vidyasaarathi-scholarship-csr-programs/last-date","scholarship subpage","43.1","Split / unclear","4","/scholarships/vidyasaarathi-scholarship-csr-programs/selection-process (670) | /scholarships/vidyasaarathi-scholarship-csr-programs (358) | /scholarships/vidyasaarathi-scholarship-csr-programs/apply-online (263)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"123","kotak kanya scholarship","entity lookup","24","3078","0.78","7.19","198","https://www.indiascholarships.in/scholarships/kotak-kanya-scholarship","scholarship detail","77.7","Split / unclear","2","/scholarships/kotak-kanya-scholarship/apply-online (550)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"124","jindal scholarship 2026 last date","deadline/renewal","289","6262","4.62","3.66","198","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Strengthen the dedicated last-date or renewal subpage, with verified current-cycle dates and a clear link from the detail page."
"125","obc","entity lookup","31","3043","1.02","3.19","193","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","8.5","Split / unclear","6","/scholarships-for/obc (239) | /scholarships/gujarat-post-matric-scholarship-for-obc (234) | /scholarships/post-matric-scholarship-for-obc-students-karnataka (171)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"126","oasis scholarship status check","status/troubleshooting","58","3256","1.78","3.66","189","https://www.indiascholarships.in/scholarships/oasis-post-matric-scholarship-for-obc-students-west-bengal","scholarship detail","82.0","Clear owner","1","","Create/upgrade a status-check or troubleshooting owner page and link it prominently from the current ranking page."
"127","nirman shramik kalyan yojana scholarship last date 2026","deadline/renewal","14","2966","0.47","8.10","189","https://www.indiascholarships.in/scholarships/boc-scholarship-nirman-shramik-kalyan-yojana-odisha","scholarship detail","63.1","Split / unclear","2","/scholarships/boc-scholarship-nirman-shramik-kalyan-yojana-odisha/last-date (1205)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"128","scholarships","entity lookup","40","3007","1.33","6.44","186","https://www.indiascholarships.in/scholarships","other","77.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"129","vidyasiri scholarship","entity lookup","29","3220","0.90","8.88","184","https://www.indiascholarships.in/scholarships/vidyasiri-food-and-accommodation-scholarship-for-obc-students-karnataka","scholarship detail","98.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"130","faeaindia.org scholarship","entity lookup","11","2478","0.44","5.33","184","https://www.indiascholarships.in/scholarships/faea-scholarship-for-undergraduate-studies","scholarship detail","93.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"131","sitaram jindal scholarship online application","apply/login","54","3084","1.75","5.98","183","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","99.9","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"132","reliance foundation scholarship 2026 last date to apply","apply/login","50","2937","1.70","4.79","183","https://www.indiascholarships.in/scholarships/reliance-foundation-undergraduate-scholarship","scholarship detail","97.2","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"133","nmms karnataka","entity lookup","38","3012","1.26","7.00","183","https://www.indiascholarships.in/scholarships/nmms-scholarship-karnataka","scholarship detail","83.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"134","medhavi scholarship portal","entity lookup","25","2598","0.96","5.07","182","https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"135","vidyasiri scholarship apply online 2026","apply/login","43","3150","1.37","7.69","181","https://www.indiascholarships.in/scholarships/vidyasiri-food-and-accommodation-scholarship-for-obc-students-karnataka","scholarship detail","64.8","Split / unclear","3","/hi/scholarships/vidyasiri-food-and-accommodation-scholarship-for-obc-students-karnataka/apply-online (716) | /scholarships/vidyasiri-food-and-accommodation-scholarship-for-obc-students-karnataka/apply-online (539)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"136","aikyashree portal","entity lookup","89","3423","2.60","5.87","177","https://www.indiascholarships.in/scholarships/aikyashree-scholarship-west-bengal-minority","scholarship detail","40.7","Split / unclear","3","/scholarships/aikyashree-post-matric-scholarship-for-minorities-west-bengal (792) | /scholarships/aikyashree-merit-cum-means-scholarship-for-minorities-west-bengal/apply-online (771)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"137","lic scholarship 2026","entity lookup","351","6713","5.23","4.00","177","https://www.indiascholarships.in/scholarships/lic-golden-jubilee-scholarship","scholarship detail","97.2","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"138","bharti airtel scholarship 2026 last date","deadline/renewal","15","2594","0.58","6.67","176","https://www.indiascholarships.in/scholarships/bharti-airtel-scholarship-program/last-date","scholarship subpage","59.1","Split / unclear","2","/scholarships/bharti-airtel-scholarship-program (981)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"139","osis portal","entity lookup","23","2672","0.86","3.43","176","https://www.indiascholarships.in/scholarships/oasis-post-matric-scholarship-for-st-students-west-bengal/apply-online","scholarship subpage","76.6","Split / unclear","2","/scholarships/oasis-post-matric-scholarship-for-st-students-west-bengal (422)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"140","post matric scholarship mp","entity lookup","23","2750","0.84","7.18","176","https://www.indiascholarships.in/scholarships/mp-taas-post-matric-scholarship-scstobc","scholarship detail","98.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"141","odisha post matric scholarship","entity lookup","49","2881","1.70","4.14","174","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-st-students-odisha","scholarship detail","37.3","Split / unclear","3","/scholarships/post-matric-scholarship-for-obcsebc-students-odisha (844) | /scholarships/post-matric-scholarship-for-sc-students-odisha (443)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"142","nsp scholarship","entity lookup","49","2928","1.67","6.27","174","https://www.indiascholarships.in/guides/nsp","portal guide","69.9","Split / unclear","2","/scholarships/pm-yashasvi-scholarship (711)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"143","nmms full form","entity lookup","16","2484","0.64","6.21","172","https://www.indiascholarships.in/scholarships/national-means-cum-merit-scholarship","scholarship detail","98.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"144","hdfc bank scholarship 2026","documents/eligibility","69","3027","2.28","5.47","169","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","100.0","Clear owner","1","","Strengthen the dedicated eligibility/documents subpage and use the detail page as the cluster hub."
"145","e grantz scholarship 2026 last date","deadline/renewal","90","3334","2.70","3.83","166","https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support","scholarship detail","71.7","Split / unclear","2","/scholarships/e-grantz-kerala-scstoecobc-support/last-date (1196)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"146","pms odisha","entity lookup","15","2302","0.65","4.66","166","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obcsebc-students-odisha","scholarship detail","97.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"147","jindal scholarship last date","deadline/renewal","18","2498","0.72","6.89","165","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","98.8","Clear owner","1","","Strengthen the dedicated last-date or renewal subpage, with verified current-cycle dates and a clear link from the detail page."
"148","tata scholarship 2026 last date","deadline/renewal","55","2832","1.94","4.08","164","https://www.indiascholarships.in/scholarships/tata-capital-pankh-scholarship","scholarship detail","98.1","Clear owner","1","","Strengthen the dedicated last-date or renewal subpage, with verified current-cycle dates and a clear link from the detail page."
"149","swami vivekananda scholarship 2026 last date","deadline/renewal","36","2822","1.28","2.14","163","https://www.indiascholarships.in/scholarships/swami-vivekananda-merit-cum-means-scholarship-svmcm/last-date","scholarship subpage","72.2","Split / unclear","2","/scholarships/swami-vivekananda-merit-cum-means-scholarship-svmcm (608)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"150","sbi scholarship 2026","entity lookup","19","2611","0.73","7.91","162","https://www.indiascholarships.in/scholarships/sbi-platinum-jubilee-asha-scholarship/eligibility","scholarship subpage","56.3","Split / unclear","3","/scholarships/sbi-platinum-jubilee-asha-scholarship (510) | /kn/scholarships/sbi-platinum-jubilee-asha-scholarship/income-limit (361)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"151","talliki vandanam scheme release date 2026","deadline/renewal","23","2669","0.86","8.38","158","https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap/last-date","scholarship subpage","79.4","Split / unclear","2","/scholarships/talliki-vandanam-scheme-ap/apply-online (531)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"152","aikyashree scholarship 2026 last date","deadline/renewal","168","4026","4.17","5.02","154","https://www.indiascholarships.in/scholarships/aikyashree-scholarship-west-bengal-minority/last-date","scholarship subpage","42.8","Split / unclear","5","/scholarships-in/west-bengal/last-date (1289) | /or/scholarships/aikyashree-post-matric-scholarship-for-minorities-west-bengal/last-date (671) | /scholarships/aikyashree-post-matric-scholarship-for-minorities-west-bengal (494)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"153","karnataka government scholarships for obc students","entity lookup","78","2987","2.61","5.91","154","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obc-students-karnataka","scholarship detail","73.4","Split / unclear","2","/scholarships/vidyasiri-food-and-accommodation-scholarship-for-obc-students-karnataka (886)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"154","reliance scholarship","entity lookup","12","2358","0.51","7.68","153","https://www.indiascholarships.in/scholarships/reliance-foundation-undergraduate-scholarship","scholarship detail","97.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"155","nmms scholarship","entity lookup","46","2739","1.68","7.41","152","https://www.indiascholarships.in/scholarships/national-means-cum-merit-scholarship","scholarship detail","83.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"156","needs of public jindal 2026","entity lookup","46","2581","1.78","6.07","152","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"157","cmrf wb gov in","entity lookup","11","2077","0.53","4.45","151","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","93.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"158","atul maheshwari scholarship","entity lookup","265","5253","5.04","4.34","150","https://www.indiascholarships.in/scholarships/atul-maheshwari-scholarship","scholarship detail","92.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"159","azim premji scholarship apply online 2026","apply/login","58","2758","2.10","6.60","150","https://www.indiascholarships.in/scholarships/azim-premji-scholarship/apply-online","scholarship subpage","71.0","Split / unclear","2","/scholarships/azim-premji-scholarship/selection-process (428)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"160","wbmdfcscholarship","entity lookup","31","2453","1.26","7.11","148","https://www.indiascholarships.in/scholarships/aikyashree-merit-cum-means-scholarship-for-minorities-west-bengal","scholarship detail","92.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"161","mukhyamantri kanya utthan yojana 50000","entity lookup","81","3118","2.60","7.45","148","https://www.indiascholarships.in/scholarships/mukhyamantri-kanya-utthan-yojana-graduation","scholarship detail","100.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"162","kotak kanya scholarship 2026 last date","deadline/renewal","12","2114","0.57","6.24","147","https://www.indiascholarships.in/scholarships/kotak-kanya-scholarship/last-date","scholarship subpage","54.6","Split / unclear","3","/scholarships/kotak-kanya-scholarship (846) | /hi/scholarships/kotak-kanya-scholarship/last-date (771)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"163","post matric scholarship odisha amount","details/eligibility","23","2165","1.06","4.49","146","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obcsebc-students-odisha","scholarship detail","47.4","Split / unclear","4","/scholarships/post-matric-scholarship-for-sc-students-odisha (937) | /scholarships/post-matric-scholarship-for-st-students-odisha (608) | /scholarships-in/odisha (357)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"164","mukhyamantri vidyarthi pratibha yojana","entity lookup","22","2157","1.02","5.87","144","https://www.indiascholarships.in/scholarships/mukhyamantri-vidyarthi-pratibha-yojna","scholarship detail","98.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"165","scholarship for college students in tamilnadu","entity lookup","68","2992","2.27","8.23","144","https://www.indiascholarships.in/scholarships/tamil-nadu-post-matric-scholarship-for-scst","scholarship detail","66.7","Split / unclear","2","/scholarships-in/tamil-nadu (1021)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"166","scholarship form last date 2026","deadline/renewal","17","2333","0.73","8.08","144","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","81.5","Clear owner","1","","Strengthen the dedicated last-date or renewal subpage, with verified current-cycle dates and a clear link from the detail page."
"167","talliki vandanam eligibility check","details/eligibility","44","2571","1.71","7.37","143","https://www.indiascholarships.in/te/scholarships/talliki-vandanam-scheme-ap/apply-online","other","32.4","Split / unclear","5","/or/scholarships/talliki-vandanam-scheme-ap/apply-online (568) | /scholarships/talliki-vandanam-scheme-ap/eligibility (509) | /scholarships/talliki-vandanam-scheme-ap/apply-online (362)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"168","reliance foundation undergraduate scholarship","entity lookup","14","2248","0.62","7.84","142","https://www.indiascholarships.in/scholarships/reliance-foundation-undergraduate-scholarship","scholarship detail","89.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"169","pm scholarship 2026","entity lookup","23","2503","0.92","9.13","141","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","68.0","Split / unclear","1","","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"170","indian foundation scholarship 2026","entity lookup","86","2833","3.04","4.85","140","https://indiascholarships.in/","other","64.0","Split / unclear","3","/ (757) | /private-scholarships (387)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"171","e-kalyan jharkhand","entity lookup","20","2126","0.94","3.59","139","https://www.indiascholarships.in/scholarships/jharkhand-e-kalyan-post-matric-scholarship","scholarship detail","86.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"172","scholarship for 10th passed students by government","entity lookup","71","3003","2.36","8.57","139","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","68.6","Split / unclear","2","/government-scholarships (999)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"173","oasis scholarship amount","details/eligibility","11","1914","0.57","5.64","138","https://www.indiascholarships.in/scholarships/oasis-pre-matric-scholarship-for-sc-students-west-bengal","scholarship detail","45.0","Split / unclear","4","/scholarships/oasis-post-matric-scholarship-for-obc-students-west-bengal (632) | /scholarships/oasis-post-matric-scholarship-for-st-students-west-bengal (191) | /scholarships/oasis-post-matric-scholarship-for-sc-students-west-bengal (174)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"174","swami vivekananda scholarship","entity lookup","25","2061","1.21","5.40","137","https://www.indiascholarships.in/scholarships/swami-vivekananda-merit-cum-means-scholarship-svmcm","scholarship detail","43.2","Split / unclear","3","/scholarships/pm-yashasvi-scholarship (399) | /scholarships/swami-vivekananda-merit-cum-means-scholarship-svmcm/last-date (188)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"175","e kalyan last date 2026","deadline/renewal","117","3207","3.65","5.42","137","https://www.indiascholarships.in/scholarships/jharkhand-e-kalyan-post-matric-scholarship","scholarship detail","67.6","Split / unclear","2","/scholarships/jharkhand-e-kalyan-post-matric-scholarship/last-date (1028)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"176","jindal scholarship login","apply/login","12","1981","0.61","6.66","134","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","99.9","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"177","sikshashree scholarship","entity lookup","43","2291","1.88","3.98","133","https://www.indiascholarships.in/scholarships/sikshashree-scholarship-scheme-west-bengal","scholarship detail","32.3","Split / unclear","4","/scholarships/sikshashree-scholarship-scheme-west-bengal/selection-process (685) | /te/scholarships/sikshashree-scholarship-scheme-west-bengal (547) | /scholarships/sikshashree-scholarship-scheme-west-bengal/apply-online (229)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"178","2026 scholarship","entity lookup","67","2597","2.58","3.54","131","https://www.indiascholarships.in/scholarships","other","70.8","Split / unclear","3","/scholarships/pm-yashasvi-scholarship (685) | /government-scholarships (380)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"179","kanyashree k2","entity lookup","119","3144","3.78","5.70","128","https://www.indiascholarships.in/scholarships/kanyashree-prakalpa-scheme-west-bengal/apply-online","scholarship subpage","34.1","Split / unclear","5","/scholarships/kanyashree-prakalpa-scheme-west-bengal/selection-process (845) | /scholarships/kanyashree-prakalpa-scheme-west-bengal/documents-required (560) | /scholarships/kanyashree-prakalpa-scheme-west-bengal/last-date (529)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"180","e grantz scholarship amount","details/eligibility","11","1840","0.60","6.38","127","https://www.indiascholarships.in/scholarships/e-grantz-kerala-scstoecobc-support","scholarship detail","97.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"181","ha","entity lookup","26","2074","1.25","3.06","126","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","15.8","Split / unclear","2","/scholarships/rajasthan-post-matric-scholarship-scst (72)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"182","hdfc parivartan scholarship 2026-27","entity lookup","188","4019","4.68","3.83","126","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","98.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"183","e medhabruti scholarship","entity lookup","54","2350","2.30","3.73","126","https://www.indiascholarships.in/scholarships/e-medhabruti-ug-merit-scholarship-odisha","scholarship detail","91.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
